Vehicle #,Driver,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Depts,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,Scrapped,2005,FORD,ECONOL,NULL,NULL,NULL,none,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
7,perry,2018.0,Ford ,Transit 250 Cargo,White,1FTYR1ZM1JKA59312,7,2018.0,Ford ,Transit 250 Cargo,18863.0,4/4/2023,Yes,NULL,NULL,74.0,7,2018,FORD,TRANSI,Y,NULL,NULL,building ser,2018 Ford Transit 250 Cargo,7,24121,18863,F-9 R-9,Above Average,"$29,593.00 "
4,daniel,2016.0,Ford,Transit,White,1FTYR1ZM3GKA47834,4,2016.0,Ford,Transit,25619.0,4/25/2023,Yes,NULL,NULL,68.0,4,2016,FORD,TRANSI,Y,11/13/2023,replace battery and figure out electric draw,building ser,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,ryan rooks,2010.0,Chevy,Express 12 Pass,NULL,1GA2GYDG5A1137501,22,2010.0,Chevy,Express 12 Pass,84696.0,7/25/2023,Yes,NULL,NULL,40.0,22,2010,CHEVR,EXPRES,Y,7/25/2023,"service, replace trailer light plug, replaced wiper blades, needs windshield.",field house,2010 Chevy Express 12 pass,22,92718,92718,F-10 R-New,Above Average,"$11,409.00 "
22,ryan rooks,2010.0,Chevy,Express 12 Pass,NULL,1GA2GYDG5A1137501,22,2010.0,Chevy,Express 12 Pass,84696.0,7/25/2023,Yes,NULL,NULL,40.0,22,2010,CHEVR,EXPRES,Y,7/25/2023,"service, replace trailer light plug, replaced wiper blades, needs windshield.",field house,2008 Chevy Express 12 pass,23,89997,89997,F-14 R-14,Above Average,"$9,028.00 "
22,ryan rooks,2010.0,Chevy,Express 12 Pass,NULL,1GA2GYDG5A1137501,22,2010.0,Chevy,Express 12 Pass,84696.0,7/25/2023,Yes,NULL,NULL,40.0,22,2010,CHEVR,EXPRES,Y,7/1/2023,"check sluggish brakes. pulled apart and all looked good, 1/2 life left on pads. poss. due to bad brakes on trailer that was being pulled. ",field house,2010 Chevy Express 12 pass,22,92718,92718,F-10 R-New,Above Average,"$11,409.00 "
22,ryan rooks,2010.0,Chevy,Express 12 Pass,NULL,1GA2GYDG5A1137501,22,2010.0,Chevy,Express 12 Pass,84696.0,7/25/2023,Yes,NULL,NULL,40.0,22,2010,CHEVR,EXPRES,Y,7/1/2023,"check sluggish brakes. pulled apart and all looked good, 1/2 life left on pads. poss. due to bad brakes on trailer that was being pulled. ",field house,2008 Chevy Express 12 pass,23,89997,89997,F-14 R-14,Above Average,"$9,028.00 "
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1GAGG25K481113755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.0,SOLD 2020,2008,CHEVR,EXPRES,VOID,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
